Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
93726,3,128472,121467,47322,3.347859922,39765,2.813229572,110.360943,-359.338264
93727,16,1351184,920592,522736,21.12491412,472080,19.07779349,588.134841,-1915.398431
93728,14,232036,506758,94892,16.27091907,79870,13.69513032,514.572253,-1677.553298
93901,15,422910,970170,185250,18.80138029,153975,15.62722014,549.9945609,-1824.834817
93905,3,181593,154416,69651,5.351594314,47865,3.6776796,110.0236947,-364.8466408
93906,9,579132,604791,258309,15.37553571,216630,12.89464286,330.453356,-1094.893398
93907,4,93196,330080,41360,5.604336043,35220,4.772357724,146.938291,-486.656765
93908,6,74388,778734,31644,7.135062007,28890,6.514092446,219.782208,-730.148992
93920,5,7725,286765,4155,7.60989011,2650,4.853479853,181.040948,-608.698174
93921,5,16580,491565,4830,2.771084337,3775,2.165806081,182.777296,-609.6071983
93923,10,128370,999550,37300,6.695386825,33950,6.094058517,365.3550533,-1218.806819
93924,1,6514,101761,2486,0.977201258,2335,0.917845912,36.478332,-121.730362
93926,1,9171,65566,3934,1.727711902,3270,1.436100132,36.5115284,-121.4431
93927,2,37624,117532,14732,3.618766888,10820,2.657823631,72.64215,-242.485143
93928,1,854,-666666666,569,35.5625,445,27.8125,36.006102,-121.236011
93930,8,136536,436840,56512,13.00023004,40720,9.367379802,289.639569,-968.998824
93933,13,330746,867243,155831,17.14689701,131625,14.48338468,476.604507,-1583.455117
93940,28,902608,2394084,466760,34.94235664,341740,25.58317113,1024.622146,-3412.560439
93950,7,108829,618282,45584,6.655570156,39830,5.815447511,256.315768,-853.413758
93953,7,28196,1021566,9380,5.384615385,8365,4.80195178,256.028299,-853.642144
93955,12,414792,765984,189096,17.47168068,156960,14.50244849,439.391183,-1462.098342
93960,2,53932,127208,14206,3.466569058,11140,2.718399219,72.8433151,-242.6473913
94002,7,190085,1088311,90748,8.790855372,75285,7.292938099,262.6859308,-855.9168336
94005,10,46970,1120160,24410,12.90169133,19200,10.14799154,376.737685,-1223.847022
